1	8
2	9
3	8
4	14
5	3
7	6
8	8
9	3
10	50
11	14
12	10
13	14
14	10
15	1
16	11
17	10
18	9
6160403	53
6160404	5
6269614	1
22	13
23	12
24	6
25	7
26	16
27	5
28	17
29	37
6160414	2
31	25
32	11
33	2
6291490	33
35	6
36	9
6291493	2
131110	11
39	7
40	3
6160425	48
42	17
43	13
44	27
45	20
46	2
47	9
131120	2
49	1
6291506	13
51	10
52	14
6182238	33
54	3
55	4
56	17
57	26
58	17
59	30
131133	9
62	8
63	5
64	49
65	13
6341650	4
67	27
68	7
6023872	13
72	14
73	6
74	5
6160459	517
76	6
6316293	5
78	11
79	16
80	23
81	14
82	1
6051171	2
84	16
85	21
86	33
87	9
88	11
89	103
6291546	9
91	32
92	14
6160477	10
94	27
95	16
96	14
97	17
6160482	5
6160483	2
100	4
101	83
6291558	9
6160487	20
104	3
105	1
106	21
107	9
108	52
6291565	1
110	9
111	10
6337287	1
113	1
114	3
115	74
6062628	1
117	14
6160502	1
6051177	5
120	17
121	2
122	20
123	9
124	19
125	20
127	35
128	3
129	9
130	7
131	7
132	15
133	22
134	6
135	7
136	11
6160521	18
138	13
139	15
140	18
141	23
142	13
143	11
144	8
145	17
146	15
6204099	12
148	4
6160533	20
151	11
153	74
6160538	15
6160539	1
156	5
157	11
158	10
159	32
160	4
6051184	9
162	7
163	2
165	15
166	26
167	83
168	4
169	5
171	10
172	16
173	18
174	25
177	9
178	102
179	10
180	8
181	7
182	19
183	34
185	6
187	20
188	20
190	21
191	4
192	18
6160577	1
194	187
6160579	7
6160580	31
6160581	36
199	8
200	9
201	96
6291658	20
6291659	15
204	2
34	1
206	1
6193261	3
208	1
210	1
6160598	30
6160599	10
6160602	12
219	3
183317	3
6160606	24
37	1
6160609	38
227	3
6160612	160
38	11
183310	2
231	2
232	2
6340189	1
6054318	4
237	1
54994	8
239	1
243	1
6160629	11
246	4
6094889	22
183318	2
251	1
6300582	2
253	34
254	99
255	3
6160640	1
257	131
258	85
259	240
260	1
261	3
262	75
264	54
265	2
266	58
267	135
270	4
271	145
272	60
6160657	13
6160658	13
275	91
276	176
277	40
278	95
279	86
280	286
281	11
282	81
283	2
284	9
285	24
286	123
287	138
288	128
289	491
290	5
292	365
6160677	8
294	1
6311106	9
6302377	2
299	68
6160684	10
6160685	11
302	143
303	46
6160688	12
305	218
6160690	6
307	54
308	116
309	1
6160694	9
311	3
312	121
313	238
314	71
315	56
316	3
317	19
6291774	1
319	70
320	104
321	65
322	36
6160707	13
325	17
6160710	24
328	1
6160713	28
330	2
331	47
6160716	11
333	109
334	118
335	2
336	14
337	29
338	110
340	1
341	3
6291798	1
343	1
344	526
345	1
346	833
347	9
348	1
350	1
6160735	35
352	1
353	61
354	746
355	161
356	92
357	19
358	72
359	303
360	117
361	2
363	53
364	78
366	38
368	42
369	125
370	1
371	74
372	265
373	4
374	161
375	504
376	3
377	42
378	1028
379	5
380	26
381	203
382	52
383	59
6319838	3
385	2
386	171
6160771	21
388	184
389	80
390	2
391	78
392	16
393	8
394	43
395	91
396	92
397	2
398	27
399	146
401	108
402	19
403	42
6160788	4
6160789	13
406	84
6160791	14
408	3
409	250
410	109
411	9
412	1
6313370	4
414	83
415	81
6160800	26
417	50
418	16
419	2
421	62
422	14
423	106
424	95
425	41
6336753	1
427	7
428	3
429	22
430	142
431	52
432	92
6160817	1
434	302
6280559	1
436	22
437	1
438	605
439	23
441	344
442	1
443	1
444	363
6294473	16
446	1
447	130
448	31
449	49
450	127
451	8
452	73
453	1377
454	1
455	2
456	3
459	38
460	450
461	50
462	2
6160847	13
6160848	5
465	146
467	28
468	1
6291925	1
6160854	41
472	42
473	81
474	5
475	34
476	1
477	280
478	35
479	36
481	180
482	1
6160867	7
485	3
486	106
6160871	11
488	1
489	239
490	362
491	3
492	208
493	26
494	50
6138621	11
496	3
497	72
498	39
6160883	6
501	86
502	29
503	311
504	8
507	4
509	158
510	146
511	22
512	3
513	1700
514	1
515	1
182439	2
517	58
6341610	1
519	34
520	139
522	379
523	4
524	163
525	19
526	95
6034395	4
528	7
529	2
530	28
531	26
532	2
533	18
534	117
535	1
536	1300
537	68
6291994	53
539	2
540	76
541	35
542	170
543	1
544	23
545	19
546	287
547	107
548	13
549	101
550	3
551	3
552	57
553	19
554	98
555	18
556	87
557	207
558	52
559	1
560	65
561	124
562	135
6182323	9
564	67
565	69
6311115	18
567	137
568	3
569	50
570	96
6160479	2
572	67
573	23
574	21
575	250
6160960	13
577	150
578	92
579	4
580	17
581	3
582	9
583	165
585	95
586	144
587	9
588	75
131661	9
590	10
6292047	1
592	4
593	36
594	16
595	111
596	19
597	19
598	49
599	72
600	48
601	2
602	19357
174863	10
604	35565
605	3
606	118
6160485	12
608	30
609	2
610	84
611	29
6160486	18
614	12
615	40
616	26
617	3
618	88
619	50
620	120
621	503
622	412
623	29
624	38
625	2
626	2
627	139
628	147
629	48
630	3
631	3
6292088	12
6292089	23
6292090	11
6292091	9
6292092	7
637	196
638	1
6082360	20
641	449
642	63
643	98
644	18
645	5
646	20
647	1
648	1
6292105	33
651	290
6292108	4
653	528
654	40
655	98
656	36
657	540
658	1
659	125
660	1505
6161045	1
662	1
663	4
664	15
665	105
666	85
667	136
668	1
669	7
671	96
673	20
6343353	1
675	140
676	21
677	130
678	14
679	259
680	145
681	29
682	60
683	26
684	166
685	74
686	289
6335261	1
688	333
6161073	10
690	344
691	65
693	224
694	21
6161079	91
696	16
697	1
698	176
6335263	2
6161084	2
6161085	1
55870	2
6161087	54
6161088	41
705	87
706	27
707	86
708	151
709	106
710	2
711	187
712	37
713	6
714	5
715	1020
716	300
717	106
718	1
719	515
720	16
721	2
6292178	30
724	95
6292181	30
726	126
6161111	1
6161113	45
730	29
731	74
732	3
6161117	362
6161118	294
736	27
737	147
738	283
739	42
740	277
741	4
742	49
743	1
745	108
746	49
747	17
749	3
750	47
754	32
755	1
756	113
757	293
6161142	18
760	98
761	2
762	5
763	37
764	132
765	1
766	73
767	429
768	57
769	47
6136541	8
771	8
772	26
774	332
775	1
776	26
777	24
6161162	3
779	50
780	37
781	369
783	8
784	12
785	18
786	154
6161171	16
788	82
789	63
790	138
791	62
792	201
793	2
794	1
795	66
796	1
798	21
799	12
800	2004
801	53
802	36
803	1339
804	162
6292261	1
806	24
807	2
808	236
809	31
810	73
6291591	1
812	137
814	181
815	100
816	84
6160520	12
818	68
6335283	1
820	32
821	481
822	15
823	175
6161208	12
825	95
826	173
827	122
828	490
829	1541
830	126
831	2
6161216	2
6161217	705
6161218	1
6260925	1
836	2
837	50
838	37
839	2
840	2
6226060	14
842	35
844	94
845	73
846	144
847	36
848	3
849	12
850	4750
851	19
852	4
853	18
854	8
6335289	1
856	63
857	62
859	133
860	121
861	66
862	104
863	157
864	1
6161249	43
866	245
867	65
868	39
869	2885
870	27
871	37
872	127
873	43
874	201
875	65
6023067	15
877	19
878	21
879	2
881	10
882	12
883	89
884	13
885	7
886	58
6162732	26
888	43
889	665
890	80481
6335295	5
892	94
6292349	26
894	35
149	13
896	29
897	123
898	52
899	63
900	101
901	57
6285742	1
903	22
904	115
905	39
906	635
907	17
908	86
909	60
910	294
911	15
912	28
913	60
915	144
917	59
918	112
6161303	16
920	42
922	10
6161307	10
924	81
925	89
926	192
927	10
928	33
929	22
930	20
6161315	24
932	99
933	46
934	1
935	476
6339867	4
937	69
938	5
939	71
940	2
941	163
6161326	2
943	125
944	30
945	1
946	41
947	34
948	52
949	59
950	1
951	146
952	3
953	87
954	5
955	92
956	54
957	32
958	31
959	17
960	1
962	1
963	47
965	19
966	25
6161351	40
6292425	1
971	12
972	74
973	936
974	12940
975	1
977	41
978	559
979	7
6292436	9
981	82
982	2
983	2
984	77
985	75
986	140
987	37
988	72
989	39
990	9
991	2
992	37
993	24
6161378	14
995	2
996	282
998	15
1000	394
1001	3
1002	80
1003	30
1004	154
1005	26
1006	54
1007	13
1008	33
1009	362
1010	83
1011	10
1012	72
1013	1
1014	7
1015	1
1016	73
1017	37
1018	106
1019	1
1020	67
1021	1
6161406	10
1023	14
1024	162
1025	62
6292482	41
6292483	13
6292484	15
6292485	18
1030	3978
1031	59
1032	2
1033	2
6204247	9
1036	37
183659	5
1039	67
1040	46
1041	98
1042	39
1043	81
6292500	14
1045	20
6292502	1
1048	809
1049	62
1050	30
1051	5
1052	47
1053	83
1054	754
1055	65
6161440	1
1057	96
1058	189
1059	79
1060	151
6292517	3
1063	2
1064	1
1065	121
1066	216
1067	9
1068	136
1069	913
1070	137
1071	2
1072	39
1073	246
1075	1
1076	29
1077	249
1078	1
1079	37012
1080	15
1081	2
6222719	1
1083	10
8736	1
1085	27
1086	66
1087	89
1088	35
1089	42
1090	120
1091	242
132165	2
1094	138
1095	2
1096	93
1098	6
505584	4
1100	1211
1101	37
1102	1
1103	1
1104	31
1106	40
1107	3
1109	34
1110	35
6161495	21
1112	4
6204260	13
1114	4
1115	94
6292572	1
1117	3
1118	35
1119	10
1120	175
183347	1
1122	34
6161508	67
1126	2
1127	12
1128	67
1129	126
1130	1
